hhid,pid,age,sex,relation,educ_years
1,1,33,1,4,11
2,1,2,2,4,0
3,1,0,1,3,6
4,1,30,1,5,6
5,1,50,1,1,11
6,1,19,2,2,2
7,1,5,1,3,7
8,1,26,2,4,5
9,1,23,2,5,11
10,1,36,1,4,0
11,1,72,1,5,11
12,1,13,1,5,8
13,1,32,2,1,7
14,1,15,2,3,8
15,1,21,1,2,12
16,1,44,2,1,19
17,1,31,1,5,7
18,1,35,2,4,9
19,1,15,2,2,4
20,1,25,2,3,8
21,1,49,1,5,11
22,1,44,1,4,6
23,1,1,2,1,10
24,1,47,2,2,13
25,1,17,2,5,6
26,1,59,1,4,8
27,1,39,2,3,10
28,1,41,1,4,11
29,1,46,1,2,10
30,1,33,1,5,15
31,1,25,2,2,8
32,1,32,2,5,10
33,1,44,1,4,5
34,1,22,2,2,6
35,1,35,2,3,14
36,1,3,2,2,4
37,1,31,2,1,3
38,1,1,2,3,16
39,1,20,1,5,6
40,1,55,2,2,7
41,1,0,1,5,0
42,1,50,2,1,4
43,1,19,1,2,4
44,1,30,1,3,5
45,1,40,1,5,8
46,1,0,2,2,12
47,1,27,2,3,13
48,1,25,1,1,8
49,1,47,1,3,6
50,1,29,2,1,3
51,1,5,1,2,9
52,1,1,1,5,4
53,1,4,2,3,10
54,1,38,1,2,13
55,1,26,2,4,8
56,1,28,1,4,2
57,1,44,2,1,8
58,1,56,1,4,5
59,1,28,2,4,4
60,1,53,1,2,14
61,1,24,2,4,5
62,1,6,2,1,18
63,1,33,2,5,6
64,1,7,1,5,0
65,1,57,2,4,10
66,1,18,1,4,7
67,1,10,1,5,6
68,1,0,2,4,12
69,1,45,2,2,6
70,1,32,1,4,5
71,1,31,1,3,8
72,1,4,1,5,4
73,1,31,1,5,8
74,1,0,2,3,4
75,1,22,2,1,6
76,1,36,1,3,8
77,1,12,1,1,17
78,1,24,1,5,2
79,1,31,1,2,6
80,1,12,1,3,1
81,1,36,2,3,0
82,1,21,2,1,6
83,1,20,1,5,18
84,1,58,2,4,11
85,1,51,2,4,9
86,1,20,1,2,9
87,1,6,2,4,4
88,1,22,1,2,8
89,1,32,2,5,11
90,1,24,2,2,9
91,1,3,2,2,4
92,1,34,1,4,11
93,1,16,2,5,16
94,1,41,1,2,11
95,1,35,1,2,11
96,1,0,2,1,12
97,1,29,1,2,8
98,1,42,2,4,5
99,1,36,1,3,8
100,1,13,1,3,2
101,1,26,1,3,13
102,1,82,1,4,3
103,1,44,1,1,7
104,1,30,1,3,10
105,1,4,2,4,13
106,1,15,1,3,0
107,1,65,2,4,9
108,1,57,1,4,3
109,1,0,1,3,4
110,1,14,2,1,8
111,1,16,1,2,8
112,1,11,2,2,15
113,1,24,1,1,6
114,1,33,2,3,6
115,1,35,1,4,9
116,1,57,2,2,12
117,1,47,2,5,10
118,1,49,1,4,11
119,1,24,2,3,8
120,1,29,1,4,13
1,2,28,2,1,8
2,2,0,1,3,12
3,2,18,2,1,9
4,2,19,1,4,8
5,2,0,1,2,2
6,2,16,1,5,4
7,2,19,1,5,7
8,2,34,1,4,6
9,2,28,1,1,6
10,2,0,1,4,9
11,2,35,2,3,2
12,2,30,2,5,9
13,2,52,1,2,9
14,2,37,2,4,15
15,2,18,1,5,5
16,2,31,2,3,8
17,2,46,2,1,12
18,2,0,1,5,15
19,2,35,1,5,13
20,2,20,1,1,0
21,2,0,2,4,13
22,2,43,1,4,5
23,2,36,1,1,5
24,2,27,2,5,10
25,2,0,1,2,8
26,2,30,1,3,7
