hhid,region,urban,hh_size,hh_weight
1,1,0,8,3.500862371047562
2,2,1,1,1.008795416418525
3,3,0,6,2.377205517087345
4,4,1,8,2.720244878368891
5,1,1,6,3.79610553110313
6,2,1,5,2.876129157584438
7,3,0,2,2.215023144389895
8,4,1,3,3.630961396729962
9,1,0,6,3.961611668594991
10,2,1,1,1.303845997695282
11,3,1,5,2.862734724810515
12,4,1,3,3.623039521514923
13,1,1,5,3.855964098708024
14,2,1,4,2.111648356362103
15,3,0,6,3.081145685333876
16,4,1,3,1.028926008890603
17,1,1,5,2.812198775368919
18,2,1,7,2.854733330611608
19,3,1,5,1.885685092977313
20,4,1,5,2.792780757256811
21,1,0,3,1.728195609993174
22,2,0,1,2.136144340348873
23,3,1,5,3.590756225787526
24,4,1,7,3.724705556742685
25,1,0,7,1.033584964676391
26,2,1,8,2.942385934275917
27,3,1,1,1.592169580071315
28,4,1,7,2.249134132599633
29,1,0,4,2.876780145673016
30,2,0,3,1.405640154872478
31,3,1,7,1.107999410417235
32,4,1,1,1.258302135162688
33,1,0,3,2.62722561286339
34,2,1,3,3.279020203184495
35,3,1,5,3.694731920879935
36,4,1,6,1.038035203739744
37,1,0,6,3.461979721203225
38,2,0,2,2.766749921345768
39,3,0,6,3.785987864986858
40,4,1,4,2.500095770692124
41,1,1,8,1.453344427416199
42,2,1,2,3.183094774567353
43,3,1,7,1.750244788770529
44,4,0,6,3.838687143197838
45,1,1,8,1.577456485300101
46,2,1,8,2.808952460895179
47,3,1,6,3.11328816774799
48,4,1,8,2.045015663203255
49,1,1,2,1.01469461368066
50,2,0,3,1.177437471210853
51,3,0,2,2.294728796019939
52,4,0,7,2.897288516593831
53,1,0,8,1.502622975240099
54,2,1,3,1.274150788403682
55,3,1,3,1.062726851924617
56,4,0,3,3.104007545537008
57,1,1,7,2.966704222944168
58,2,0,4,3.475377658132101
59,3,0,8,2.630498119140102
60,4,1,4,2.051556637966989
61,1,0,7,1.526377913211164
62,2,1,4,2.503749995763844
63,3,1,6,1.05977925398191
64,4,0,3,2.313158943237068
65,1,1,5,3.770716018280098
66,2,1,8,2.901943028214988
67,3,1,8,1.360075658723606
68,4,1,6,3.235870774619451
69,1,1,7,2.75091248629571
70,2,1,8,2.164339556596871
71,3,1,3,2.636091451158433
72,4,1,6,1.383262234252194
73,1,0,2,3.838501223244175
74,2,1,5,3.049981326695186
75,3,1,1,1.836420086764565
76,4,1,4,3.919295584229233
77,1,1,6,1.552728761494485
78,2,0,7,1.463050254157136
79,3,1,8,1.223031820232304
80,4,1,6,1.892502146110441
81,1,1,6,2.190906501112385
82,2,1,6,1.227001740302192
83,3,1,2,1.993057160260763
84,4,1,5,1.15265655405236
85,1,1,7,3.334503425750282
86,2,1,1,3.704139363091294
87,3,1,1,1.115433678194774
88,4,0,7,3.819194963166
89,1,1,7,3.508016606624027
90,2,1,1,1.539794885432016
91,3,1,7,1.873194182858004
92,4,1,1,2.95977979312402
93,1,1,3,2.158358180956165
94,2,1,3,2.492360154567703
95,3,1,3,1.163068070314401
96,4,1,2,1.081268788027549
97,1,1,7,3.381689842372816
98,2,0,4,2.057306380247812
99,3,1,1,2.367612089484104
100,4,1,2,2.344065578686485
101,1,1,5,2.866812728733029
102,2,1,7,1.727087475055365
103,3,0,8,2.487040053652038
104,4,1,4,2.629021235700788
105,1,1,1,1.536285104218484
106,2,1,1,1.33165790362612
107,3,1,5,2.467042383213972
108,4,0,5,1.873076768953211
109,1,1,7,2.154094407147641
110,2,0,4,3.164435006465103
111,3,0,4,1.233063868221729
112,4,1,8,1.351660280760596
113,1,0,2,1.757729798326341
114,2,1,5,3.169261206843337
115,3,1,7,3.842381261363201
116,4,0,4,2.287244463179232
117,1,1,2,2.982219891412684
118,2,1,1,1.15220444901805
119,3,1,7,3.373022242906068
120,4,1,1,2.452364818526452
121,1,0,4,3.86946351478257
122,2,0,6,3.32617801938183
123,3,1,8,1.085052671354045
124,4,1,1,1.052100372325805
125,1,1,1,1.252664294260684
126,2,1,6,1.283627723884019
127,3,1,6,2.977847485430873
128,4,0,5,1.408356140165718
129,1,1,6,2.467782286587029
130,2,0,1,3.311817655637839
131,3,1,7,3.556088438285636
132,4,1,3,1.140393184794101
133,1,1,1,2.639329853816465
134,2,0,2,3.251424254487502
135,3,1,1,2.660191362678108
136,4,0,5,2.825750379767444
137,1,0,4,1.135715515059587
138,2,0,3,2.625582362182261
139,3,1,2,1.531043729013738
140,4,1,1,1.574727355306361
141,1,1,8,3.12262983445992
142,2,1,5,3.455124823574545
143,3,0,1,3.233306355952605
144,4,1,1,2.290230366368909
145,1,0,1,3.996000482643693
146,2,0,1,1.310267209231027
147,3,0,7,2.018357169048893
148,4,0,6,1.17553169439116
149,1,1,3,3.773343829128251
150,2,0,1,3.843144684406114
