hhid,region,urban,hh_size,hh_weight
1,1,1,7,1.185301899865164
2,2,0,1,1.111997941049224
3,3,1,4,1.548338267663387
4,4,1,5,2.293264632516953
5,1,1,7,1.908127632547097
6,2,1,4,1.832645620405749
7,3,0,7,3.380605818609661
8,4,0,1,3.868379709917277
9,1,1,4,1.036563856485679
10,2,0,7,1.988563691041491
11,3,0,3,2.406569803286156
12,4,1,7,2.653499786518047
13,1,1,8,3.886173428321186
14,2,1,2,1.844028976192
15,3,1,1,2.039364739458164
16,4,1,7,2.362006611560254
17,1,1,8,3.117369103236309
18,2,0,5,1.080055005911829
19,3,0,8,1.176549956425357
20,4,1,1,1.035969471892013
21,1,0,6,3.915192100628557
22,2,1,8,1.09480807411666
23,3,0,1,3.12896038760585
24,4,1,3,1.404473380124001
25,1,1,1,3.778367224741144
26,2,1,4,3.374497802568545
27,3,1,4,1.273306475047479
28,4,0,3,3.511880022916772
29,1,0,1,1.491007123614898
30,2,1,6,3.799272150236548
31,3,1,2,2.041228163500164
32,4,1,2,3.427388312735161
33,1,0,3,3.802843864017961
34,2,0,3,1.469678610955347
35,3,0,7,2.600588856576741
36,4,1,3,3.6732176197694
37,1,1,4,2.772977403979765
38,2,1,6,1.482322892378454
39,3,1,3,1.459142039581967
40,4,0,4,1.20087386281721
41,1,1,6,2.979362477888683
42,2,0,6,3.645110255190696
43,3,1,5,3.729970540162989
44,4,1,5,1.513722455603117
45,1,0,2,2.615695359664293
46,2,0,4,1.949342729084417
47,3,1,6,2.952487183714849
48,4,1,6,2.221695620818033
49,1,1,3,3.4111363654853
50,2,1,2,2.822082217787355
51,3,0,8,3.526481134135231
52,4,1,1,1.953732683005673
53,1,1,7,2.682787461215021
54,2,1,2,1.855422466960823
55,3,1,7,3.37335952826832
56,4,0,6,2.784363747164659
57,1,0,6,1.873903592917251
58,2,0,3,3.713614176385614
59,3,0,3,2.91921399396493
60,4,1,7,1.614294858219105
61,1,1,1,1.976440343411595
62,2,1,6,1.994230556052298
63,3,0,4,1.993481588951009
64,4,1,8,1.021983782648977
65,1,1,5,2.025872347148861
66,2,0,5,3.680531329918773
67,3,1,5,2.521929811361552
68,4,1,6,2.433119679496384
69,1,0,8,1.061300566204625
70,2,1,3,2.337374373922183
71,3,0,7,1.421500798870161
72,4,0,1,1.796280161446993
73,1,1,4,1.922368044821547
74,2,0,3,2.57652796498639
75,3,0,5,3.882514546954102
76,4,1,6,2.280887214564824
77,1,1,2,1.70693582955808
78,2,1,1,1.333736221469319
79,3,1,1,1.587737291694103
80,4,1,2,3.456936377516599
81,1,1,3,2.952792864901937
82,2,1,3,1.524067400820528
83,3,1,8,2.234898280328958
84,4,1,6,2.923883045618332
85,1,1,8,1.953870151313766
86,2,0,2,3.412179433297158
87,3,1,4,3.708651230825167
88,4,0,4,2.423779736199549
89,1,1,2,3.200595718067051
90,2,1,2,2.834297017167055
91,3,1,1,3.506107670489791
92,4,1,5,3.253005646899333
93,1,1,1,1.805650157475164
94,2,1,8,2.938960618360423
95,3,0,5,1.092086790148413
96,4,0,4,2.260550982996753
97,1,1,6,2.057852838528723
98,2,1,6,1.653015894372961
99,3,0,2,3.298658728842787
100,4,1,8,2.956207668561701
101,1,1,5,3.485143034490143
102,2,0,7,1.109251111069588
103,3,1,3,3.555465614958311
104,4,1,3,3.038261226074017
105,1,1,1,3.759484999714585
106,2,1,5,3.03657924155652
107,3,1,2,3.611355918611507
108,4,1,5,2.051160167136785
109,1,1,6,2.8653754169268
110,2,0,4,2.973313494242394
111,3,0,1,1.142002311359288
112,4,0,1,3.65923758307981
113,1,0,7,2.291857766774193
114,2,0,7,2.503825244797559
115,3,0,2,1.856416711044476
116,4,0,1,2.719251372048739
117,1,1,6,3.068877581265144
118,2,1,4,2.467552199272559
119,3,0,2,3.038521478298646
120,4,0,5,1.280945848112569
